	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006802	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006920	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR6313631	1	1	1	-1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	2
SRR11006877	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006619	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR5562876	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	2
SRR11100161	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR14333880	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
SRR11006844	1	1	0	1	1	1	1	1	0	1	-1	1	0	1	1	1	1	1	0
SRR11238019	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR14333863	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
SRR11196655	1	1	-1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006955	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	2
SRR11100129	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11196647	1	1	1	1	-1	1	1	1	-1	0	0	1	0	1	1	1	1	1	1
SRR11196622	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0
SRR11237977	1	1	1	1	1	1	1	1	0	0	0	0	0	1	-1	1	1	1	0
SRR11196675	-1	1	1	-1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006673	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006904	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0
SRR11006799	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
SRR11006933	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11196628	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11196621	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0
SRR11006810	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006873	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
SRR11006714	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0
SRR11006848	1	1	1	-1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	2
SRR11100111	-1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006670	1	-1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR14333860	1	1	1	1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	1
SRR11006606	1	1	1	1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	0
SRR11006479	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0
SRR11196624	-1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006724	1	1	1	-1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
