SampleID	Country	SubRegion	Region	Location	VSSC  median coverage	ACE1  median coverage	GSTE2  median coverage	GABA  median coverage
SRR11006902	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.0	0.8235294117647058	1.0
SRR11006903	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.1764705882352942	1.2352941176470589	1.1764705882352942
SRR11006904	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	0.9375	1.0	1.125	1.125
SRR11006905	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	0.9444444444444444	0.7777777777777778	0.9444444444444444	0.9444444444444444
SRR11006906	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.0	1.1111111111111112	1.2777777777777777
SRR11006907	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	0.9583333333333334	0.875	1.0
SRR11006908	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	0.9444444444444444	0.9444444444444444	1.0833333333333335	1.0
SRR11006909	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	1.2	1.2666666666666666	1.2
SRR11006910	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	0.8421052631578947	1.0526315789473684	0.9473684210526315	0.9473684210526315
SRR11006911	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.85	0.85	2.75	0.95
SRR11006912	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	0.9375	0.875	1.125	0.9375
SRR11006913	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	0.9545454545454546	0.7727272727272727	0.9545454545454546
SRR11006914	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	0.9375	1.0625	1.25	0.875
SRR11006915	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.105263157894737	1.263157894736842	1.0	1.1315789473684212
SRR11006916	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0	1.0	0.95	0.85
SRR11006917	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0434782608695652	1.0869565217391304	0.8695652173913043	1.1304347826086956
SRR11006918	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0	0.9473684210526315	0.8947368421052632	0.8421052631578947
SRR11006919	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0	0.9	1.05	1.0
SRR11006920	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	0.9	1.15	0.5	1.1749999999999998
SRR11006921	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.1304347826086956	1.0434782608695652	0.8260869565217391	0.9347826086956521
SRR11006922	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.9411764705882353	0.9411764705882353	4.117647058823529	0.8235294117647058
SRR11006923	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	0.95	1.1	0.85	0.9
SRR11006924	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0	1.0	0.7894736842105263	1.105263157894737
SRR11006925	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0526315789473684	0.8947368421052632	0.9210526315789473	0.7894736842105263
SRR11006926	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	0.9545454545454546	1.0	0.8636363636363636	0.8863636363636364
SRR11006927	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	1.0476190476190477	1.1428571428571428	1.0476190476190477	0.9047619047619048
SRR11006928	Uganda	Uganda	West and Central Africa	Uganda: Bundibugyo	0.9444444444444444	0.8888888888888888	0.8333333333333334	1.0
SRR11006929	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0588235294117647	1.1764705882352942	0.8823529411764706	0.9411764705882353
SRR11006930	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0588235294117647	1.2352941176470589	0.8823529411764706	0.8823529411764706
SRR11006931	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.1333333333333333	1.0	0.8	0.8666666666666667
SRR11006932	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0	0.9	0.8	0.9
SRR11006933	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.8461538461538461	1.0769230769230769	4.3076923076923075	1.0769230769230769
SRR11006934	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0	1.2	0.8	0.9
SRR11006935	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0	1.0555555555555556	0.6388888888888888	0.8611111111111112
SRR11006936	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.1176470588235294	1.0588235294117647	1.0588235294117647	0.8823529411764706
SRR11006938	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.0	1.05	1.0
SRR11006939	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9523809523809523	1.0476190476190477	0.8095238095238095	0.9047619047619048
SRR11006940	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.8888888888888888	0.8888888888888888	1.0	1.0
SRR11006941	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9411764705882353	1.1176470588235294	0.8235294117647058	1.0
SRR11006942	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.1	0.9	0.95
SRR11006943	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.05	0.85	0.875
SRR11006944	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.0526315789473684	0.9473684210526315	6.421052631578948	1.1578947368421053
SRR11006945	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.05	1.1	1.3	1.05
SRR11006946	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.15	0.6	1.05
SRR11006947	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0555555555555556	1.2222222222222223	1.0	0.8611111111111112
SRR11006948	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9583333333333334	1.125	1.0416666666666667	1.0
SRR11006949	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.3571428571428572	0.6428571428571429	1.1428571428571428
SRR11006950	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	1.0	0.9444444444444444	0.9444444444444444
SRR11006951	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9545454545454546	0.9545454545454546	0.8636363636363636	0.7727272727272727
SRR11006952	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	1.0	0.8823529411764706	0.6470588235294118	0.9411764705882353
SRR11006953	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9473684210526315	1.105263157894737	0.8421052631578947	1.0
SRR11006954	Kenya	East Kenya	East Kenya and South Africa	Kenya: Rabai	0.9090909090909091	1.0909090909090908	0.8636363636363636	0.9318181818181819
SRR11006955	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.9285714285714286	1.0	3.9285714285714284	1.0714285714285714
SRR11006956	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.0555555555555556	1.0	3.611111111111111	1.1388888888888888
SRR11006957	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.0	1.0	3.7058823529411766	0.9411764705882353
